1023624;1026208;1118684;1675354;1894056;1966413;2203561;7777078;7777264;7785259;7785275;7785321;7813091;7839995;7840578;7840811;7879971;7884427;Adresní místa;Adresy;Datum dokončení;Druh svislé nosné konstrukce;EPC regulation;Energy Performance Certificate (EPC);Energy consumption (kWh/m2/a);ID;Katastrální území;Kraj (VÚSC);Kód;Kód vchodu;Městská část/obvod;Non renewable value of energy;ORP;Obec;Obestavěný prostor [m3];Obvod Prahy;Okres;POU;Parcela;Parcela a katastrální území;Podlahová plocha [m2];Počet bytů;Počet podlaží;Počet vchodů;Připojení na kanalizační síť;Připojení na rozvod plynu;Připojení na vodovod;Region soudržnosti;Správní obvod Prahy;Stát;Typ;Vybavení výtahem;Zastavěná plocha [m2];Způsob vytápění;Způsob využití;lat_wgs84;lon_wgs84;x_jtsk;y_jtsk;Část obce;Čísla popisná nebo evidenční
;;;;;;"Základní bodové pole - značka bodu; Značka bodu ZVBP";;;;;;;;;;;;Seznam adresních míst;;26.08.2022;Kámen, cihly, tvárnice vč. kombinací;78/2013 Sb.;B;72;19171439;Černovice;Jihomoravský kraj;Typ;;Brno-Černovice;116;Brno;Brno;1195;;Brno-město;Brno;1542, k.ú. Černovice;1542, k.ú. Černovice 1542, k.ú. Černovice;357;33;6;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Jihovýchod;;Česká republika;budova s číslem popisným;Bez výtahu;447;Jiné (i bez topení);bytový dům;49.18545383232825;16.641056243020156;1162078.37;595881.9;Černovice;678
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;21.10.2024;Cihly, tvárnice, cihlové bloky;148/2007 Sb.;B;77;149446993;Slatina;Jihomoravský kraj;;;Brno-Slatina;81;Brno;Brno;2019;;Brno-město;Brno;495/5, k.ú. Slatina;495/5, k.ú. Slatina 495/5, k.ú. Slatina;480;12;3;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Jihovýchod;;Česká republika;budova s číslem popisným;Bez výtahu;205;Centrální domovní- zemní plyn;bytový dům;49.18372340620199;16.667224695502554;1162473.59;594005.88;Slatina;1601
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.2005;Kámen, cihly, tvárnice vč. kombinací;78/2013 Sb.;C;100;19021682;Zábrdovice;Jihomoravský kraj;;;Brno-střed;153;Brno;Brno;;;Brno-město;Brno;661, k.ú. Zábrdovice;661, k.ú. Zábrdovice 661, k.ú. Zábrdovice;;0;4;0;Nezjištěno;Nezjištěno;Nezjištěno;Jihovýchod;;Česká republika;budova s číslem popisným;Bez výtahu;216;Centrální domovní (kotel ve stavbě);víceúčelová stavba;49.1941687408978;16.616521913149167;1160923.1;597555.89;Zábrdovice;279
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;01.12.2022;Cihly, tvárnice, cihlové bloky;78/2013 Sb.;B;119;118378945;Brozany nad Ohří;Ústecký kraj;;;;138;Litoměřice;Brozany nad Ohří;4064;;Litoměřice;Litoměřice;st. 192, k.ú. Brozany nad Ohří;st. 192, k.ú. Brozany nad Ohří st. 192, k.ú. Brozany nad Ohří;350;14;2;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Severozápad;;Česká republika;budova s číslem popisným;Bez výtahu;454;Centrální domovní- zemní plyn;bytový dům;50.45443600056663;14.144752672398416;999865.0;756692.5;Brozany nad Ohří;443
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;30.07.2024;Cihly, tvárnice, cihlové bloky;148/2007 Sb.;B;76;148570615;Holešov;Zlínský kraj;;;;90;Holešov;Holešov;3683;;Kroměříž;Holešov;2852/1, k.ú. Holešov;2852/1, k.ú. Holešov 2852/1, k.ú. Holešov;765;7;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Střední Morava;;Česká republika;budova s číslem popisným;S výtahem;252;Centrální domovní- zemní plyn;bytový dům;49.328025008469;17.56850450357116;1153121.31;527119.53;Holešov;1913
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;26.05.2021;Cihly, tvárnice, cihlové bloky;78/2013 Sb.;B;56;105138606;Holubice;Jihomoravský kraj;;;;73.1;Slavkov u Brna;Holubice;8375;;Vyškov;Slavkov u Brna;886/167, k.ú. Holubice;886/167, k.ú. Holubice 886/167, k.ú. Holubice;1736;30;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Jihovýchod;;Česká republika;budova s číslem popisným;S výtahem;855;Centrální domovní- zemní plyn;bytový dům;49.17242535662964;16.8187265511052;1164890.62;583155.62;Holubice;418
;;;;;;;;Národní park;;;;"Zóna NP; Zóna soustředěné péče (C)";;;;Ptačí oblast;Evropsky významná lokalita;Seznam adresních míst;;;Nezjištěno;148/2007 Sb.;A;73.2;2309335;Dolní Albeřice;Královéhradecký kraj;Typ;;;;Trutnov;Horní Maršov;;;Trutnov;Svoboda nad Úpou;st. 19, k.ú. Dolní Albeřice;st. 19, k.ú. Dolní Albeřice st. 19, k.ú. Dolní Albeřice;;0;1;0;Nezjištěno;Nezjištěno;Nezjištěno;Severovýchod;;Česká republika;budova s číslem popisným;Nezjištěno;377;Nezjištěno;stavba ubytovacího zařízení;50.683066609005095;15.848059626143685;990173.9;633752.95;Dolní Albeřice;41
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;;;78/2013 Sb.;D;123;54402182;Hradec Králové;Královéhradecký kraj;;;;175;Hradec Králové;Hradec Králové;;;Hradec Králové;Hradec Králové;st. 186, k.ú. Hradec Králové;st. 186, k.ú. Hradec Králové st. 186, k.ú. Hradec Králové;;0;;0;;;;Severovýchod;;Česká republika;budova s číslem popisným;;107;;víceúčelová stavba;50.21004040222016;15.833723300602689;1042309.33;640948.64;Hradec Králové;142
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;07.01.1970;Kámen, cihly, tvárnice vč. kombinací;78/2013 Sb.;E;174;15926451;Hulín;Zlínský kraj;;;;214;Kroměříž;Hulín;10335;;Kroměříž;Hulín;131, k.ú. Hulín;131, k.ú. Hulín 131, k.ú. Hulín;1438;12;3;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Střední Morava;;Česká republika;budova s číslem popisným;Bez výtahu;690;Centrální dálkové (kotel mimo stavbu);bytový dům;49.31718997655872;17.466247003026737;1153610.48;534633.9;Hulín;166
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1950;Cihly, tvárnice, cihlové bloky;264/2020 Sb.;C;122;23124814;Chomutov I;Ústecký kraj;;;;131;Chomutov;Chomutov;3860;;Chomutov;Chomutov;2300/2, k.ú. Chomutov I;2300/2, k.ú. Chomutov I 2300/2, k.ú. Chomutov I;1329;12;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Severozápad;;Česká republika;budova s číslem popisným;Bez výtahu;838;Centrální domovní- zemní plyn;bytový dům;50.458047159197086;13.422377358820643;992041.85;807389.0;Chomutov;984
